1,CPU#1,Equipo Alumno,2400892,Hewlett-Packard,Pro 6305 Microtower,MXL3382B3K,CPU en torreta ATX mediana con franjas color alumnio frente,En uso,Alumno
2,CPU#2,Equipo Alumno,2400854,Hewlett-Packard,Pro 6305 Microtower,MXL3350WJZ,CPU en torreta ATX mediana con franjas color alumnio frente,En uso,Alumno
3,CPU#3,Equipo Alumno,2401325,Hewlett-Packard,Pro 6305 Microtower,MXL3382B3L,CPU en torreta ATX mediana con franjas color alumnio frente,En uso,Alumno
4,CPU#4,Equipo Alumno,2400851,Hewlett-Packard,Pro 6305 Microtower,MXL3350WL6,CPU en torreta ATX mediana con franjas color alumnio frente,En uso,Alumno
5,CPU#1,ANIMAL,2340978,Hewlett-Packard,505B MT,MXL1281G38,CPU en torreta ATX mediana con franjas color alumnio frente y ventilacion lateral,En uso,Alumno
6,CPU#407,Error,4289592,Hewlett-Packard,HP,GJEKL23542GTR,CPU de pruebas,En uso,Administración
1247426491,CPU#404,Prueba,34287145,Dell,HPro550,2342HGSDSF34,PC de pruebas,Baja,Alumno
1386567721,CPU#234,Prueba,23425235,Dell,X600,34GERTRE345,PC de pruebas,Baja,Alumno
